EMPLOYEE_CODE,FIRST_NAME,FIRST_NAME_MB,LAST_NAME,LAST_NAME_MB,DATE_HIRED,TERMINATION_DATE,TERMINATION_CODE,BIRTH_DATE,GENDER_CODE,WORK_PHONE,EXTENSION,FAX,EMAIL
10004,Denis,Denis,Pagé,Pagé,2007-12-11 00:00:00.0,,150,1966-11-02 00:00:00.0,0,+33 1 68 94 52 20,3995,+33 1 68 94 56 60,DPage@grtd123.com
10005,Élizabeth,Élizabeth,Michel,Michel,2009-11-24 00:00:00.0,,150,1980-03-02 00:00:00.0,1,+33 1 68 94 52 20,3994,+33 1 68 94 56 60,EMichel@grtd123.com
10006,Émile,Émile,Clermont,Clermont,2012-05-10 00:00:00.0,,150,1986-07-12 00:00:00.0,0,+33 1 68 94 52 20,3993,+33 1 68 94 56 60,EClermont@grtd123.com
10007,Étienne,Étienne,Jauvin,Jauvin,2009-10-09 00:00:00.0,,150,1979-02-16 00:00:00.0,0,+33 1 68 94 52 20,3992,+33 1 68 94 56 60,EJauvin@grtd123.com
10012,Elsbeth,Elsbeth,Wiesinger,Wiesinger,2011-03-22 00:00:00.0,,150,1974-11-05 00:00:00.0,1,+(49) 40 663 1990,3987,+(49) 40 663 4571,EWiesinger@grtd123.com
10013,Else,Else,Mörike,Mörike,2006-11-07 00:00:00.0,,150,1966-08-21 00:00:00.0,1,+(49) 40 663 1990,3986,+(49) 40 663 4571,EMorike@grtd123.com
10014,Frank,Frank,Fuhlroth,Fuhlroth,2009-05-12 00:00:00.0,2012-01-02 00:00:00.0,152,1962-07-14 00:00:00.0,0,1 (403) 232-5986,2985,1 (403) 232-5831,FFuhlroth@grtd123.com
10015,Gunter,Gunter,Erler,Erler,2013-04-18 00:00:00.0,,150,1981-06-02 00:00:00.0,0,+(49) 40 663 1990,3984,+(49) 40 663 4571,GErler@grtd123.com
10016,Björn,Björn,Winkler,Winkler,2010-07-13 00:00:00.0,,150,1976-06-01 00:00:00.0,0,+(49) 89 882 3456,3983,+(49) 89 882 3455,BWinkler@grtd123.com
10017,Fritz,Fritz,Hirsch,Hirsch,2010-12-20 00:00:00.0,,150,1969-04-05 00:00:00.0,0,+(49) 89 882 3456,3982,+(49) 89 882 3455,FHirsch@grtd123.com
10018,Jörg,Jörg,Kunze,Kunze,2009-02-18 00:00:00.0,,150,1955-02-11 00:00:00.0,0,+(49) 89 882 3456,3981,+(49) 89 882 3455,JKunze@grtd123.com
10019,Silvano,Silvano,Allessori,Allessori,2012-06-27 00:00:00.0,,150,1982-02-17 00:00:00.0,0,+(39) 02 79 53 780,7980,+(39) 02 79 53 477,SAllessori@grtd123.com
10020,Maria,Maria,Iacobucci,Iacobucci,2008-03-25 00:00:00.0,,150,1966-07-11 00:00:00.0,1,+(39) 02 79 53 780,7979,+(39) 02 79 53 477,MIacobucci@grtd123.com
10021,Alessandra,Alessandra,Torta,Torta,2009-12-15 00:00:00.0,,150,1964-09-25 00:00:00.0,1,+(39) 02 79 53 780,7978,+(39) 02 79 53 477,ATorta@grtd123.com
10022,Belinda,Belinda,Jansen-Velasquez,Jansen-Velasquez,2009-08-01 00:00:00.0,,150,1986-06-28 00:00:00.0,1,+31 (0)20 692 93 94,6977,+31 (0)20 692 93 06,BJansen-Velasquez@grtd123.com
10023,Ellen,Ellen,Shapiro,Shapiro,2008-09-09 00:00:00.0,,150,1975-09-03 00:00:00.0,1,+31 (0)20 692 93 94,6976,+31 (0)20 692 93 06,EShapiro@grtd123.com
10024,Jan,Jan,Haverkamp,Haverkamp,2011-04-13 00:00:00.0,,150,1988-01-26 00:00:00.0,0,+31 (0)20 692 93 94,6975,+31 (0)20 692 93 06,JHaverkamp@grtd123.com
10025,Kick,Kick,Kalkman,Kalkman,2009-03-31 00:00:00.0,,150,1969-03-07 00:00:00.0,0,+31 (0)20 692 93 94,6974,+31 (0)20 692 93 06,KKalkman@grtd123.com
10026,Maria,Maria,Laponder,Laponder,2011-07-05 00:00:00.0,,150,1979-03-25 00:00:00.0,1,+31 (0)20 692 93 94,6973,+31 (0)20 692 93 06,MLaponder@grtd123.com
10027,Anders,Anders,Nilsson,Nilsson,2008-12-09 00:00:00.0,,150,1977-04-24 00:00:00.0,0,+(46) 08 753 116,6972,+(46) 08 752 592,ANilsson@grtd123.com
10028,Bengt,Bengt,Gradin,Gradin,2011-10-27 00:00:00.0,,150,1984-08-30 00:00:00.0,0,+(46) 08 753 116,6971,+(46) 08 752 592,BGradin@grtd123.com
10029,Irene,Irene,Engelbrektsson,Engelbrektsson,2007-01-17 00:00:00.0,,150,1979-04-05 00:00:00.0,1,+(46) 08 753 116,6970,+(46) 08 752 592,IEngelbrektsson@grtd123.com
10030,Karin,Karin,Bergström,Bergström,2009-01-27 00:00:00.0,,150,1964-06-27 00:00:00.0,1,+(46) 08 753 116,6969,+(46) 08 752 592,KBergstrom@grtd123.com
10043,Martine,Martine,Vachon,Vachon,2007-03-23 00:00:00.0,,150,1973-10-18 00:00:00.0,1,1 (403) 232-5986,2956,1 (403) 232-5831,MVachon@grtd123.com
10044,Harold,Harold,Townsend,Townsend,2005-12-10 00:00:00.0,,150,1981-01-28 00:00:00.0,0,1 (403) 232-5986,2955,1 (403) 232-5831,HTownsend@grtd123.com
10045,Sally,Sally,White,White,2009-03-04 00:00:00.0,,150,1969-04-23 00:00:00.0,1,1 (403) 232-5986,2954,1 (403) 232-5831,SWhite@grtd123.com
10046,Sherry,Sherry,Rowland,Rowland,2006-03-28 00:00:00.0,,150,1964-07-26 00:00:00.0,1,1 (403) 232-5986,2953,1 (403) 232-5831,SRowland@grtd123.com
